time,PlayerId,GameId,GameActivity,Latitude,Longitude,City,Country,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime
2016-08-09T14:47:19.3083110Z,Haohannon,3,0,-24.87906411,152.3508968,Bundaberg,Australia,2016-08-09T14:49:28.8277114Z,1,2016-08-09T14:47:17.7680000Z
2016-08-09T14:47:21.1450315Z,Miroredan,4,1,11.08042055,77.32999792,Tiruppur,India,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:20.0490000Z
2016-08-09T14:47:22.6742973Z,PickingBoogers,1,0,5.200391865,-3.749988445,Grand Bassam,Ivory Coast,2016-08-09T14:49:52.3394693Z,7,2016-08-09T14:47:22.2860000Z
2016-08-09T14:47:22.7550574Z,MouseRatRockBand,1,1,39.71027508,-111.8354841,Nephi,United States of America,2016-08-09T14:49:52.3394693Z,7,2016-08-09T14:47:22.3330000Z
2016-08-09T14:47:22.7795292Z,Ank0,0,0,60.17556337,24.93412634,Helsinki,Finland,2016-08-09T14:49:52.3394693Z,7,2016-08-09T14:47:22.3790000Z
2016-08-09T14:47:23.8037687Z,FightClubAlum,3,0,-5.089574362,-80.17000086,Chulucanas,Peru,2016-08-09T14:49:28.8277114Z,1,2016-08-09T14:47:23.0330000Z
2016-08-09T14:47:23.9800095Z,GlitterGunner,4,0,54.92870017,71.26824906,Isikul,Russia,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:23.3160000Z
2016-08-09T14:47:24.4291366Z,Machion,4,0,50.93000368,6.950004434,Cologne,Germany,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:23.3630000Z
2016-08-09T14:47:24.4963559Z,Liquarion,1,1,60.79330345,-161.7557961,Bethel,United States of America,2016-08-09T14:49:52.3394693Z,7,2016-08-09T14:47:23.6070000Z
2016-08-09T14:47:25.6149117Z,Finture,2,0,44.20627972,27.32591833,Calarasi,Romania,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:24.4990000Z
2016-08-09T14:47:27.4963559Z,Liquarion,1,0,60.79330345,-161.7557961,Bethel,United States of America,2016-08-09T14:49:52.3394693Z,7,2016-08-09T14:47:26.7310000Z
2016-08-09T14:47:28.9326562Z,Dealage,4,0,-7.620014222,15.04997514,Uige,Angola,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:27.6350000Z
2016-08-09T14:47:30.8302443Z,Ank0,3,1,60.17556337,24.93412634,Helsinki,Finland,2016-08-09T14:49:28.8277114Z,1,2016-08-09T14:47:29.5330000Z
2016-08-09T14:47:31.4097766Z,Livertsogl,4,1,-70.89039668,-7.838438004,Neumayer Station III,Antarctica,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:30.8140000Z
2016-08-09T14:47:31.4471351Z,Monspros,4,0,-7.190014629,-48.21001367,Araguaina,Brazil,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:30.8760000Z
2016-08-09T14:47:33.1529528Z,Monspros,0,1,-7.190014629,-48.21001367,Araguaina,Brazil,2016-08-09T14:49:52.3394693Z,7,2016-08-09T14:47:32.1080000Z
2016-08-09T14:47:33.3005327Z,BugKid,0,0,4.864960143,100.7199914,Taiping,Malaysia,2016-08-09T14:49:52.3394693Z,7,2016-08-09T14:47:32.1710000Z
2016-08-09T14:47:33.5283795Z,ExecuteElectrocute,3,1,34.62720034,-79.01190617,Lumberton,United States of America,2016-08-09T14:49:28.8277114Z,1,2016-08-09T14:47:32.8270000Z
2016-08-09T14:47:33.8053795Z,Coptussa,4,1,7.103004311,171.3800002,Majuro,Marshall Islands,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:33.1790000Z
2016-08-09T14:47:34.1303795Z,TiaraONtop,1,1,-3.416601543,10.65003699,Mayumba,Gabon,2016-08-09T14:49:52.3578158Z,7,2016-08-09T14:47:33.4110000Z
2016-08-09T14:47:34.9681077Z,Dealage,0,1,-7.620014222,15.04997514,Uige,Angola,2016-08-09T14:49:52.3578158Z,7,2016-08-09T14:47:34.4840000Z
2016-08-09T14:47:35.1011077Z,Deluxenade,0,1,5.716613585,-75.31662785,Sonson,Colombia,2016-08-09T14:49:52.3578158Z,7,2016-08-09T14:47:34.5490000Z
2016-08-09T14:47:35.4371509Z,Adendabard,3,0,-17.87003457,-41.50000981,Teofilo Otoni,Brazil,2016-08-09T14:49:28.8277114Z,1,2016-08-09T14:47:34.2160000Z
2016-08-09T14:47:35.9892448Z,Dewinte,3,1,14.03998151,35.38000036,Gedaref,Sudan,2016-08-09T14:49:28.8277114Z,1,2016-08-09T14:47:35.2860000Z
2016-08-09T14:47:37.3003052Z,Lararethien,2,0,42.03946108,-88.28991866,Elgin,United States of America,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:36.5560000Z
2016-08-09T14:47:37.9186562Z,SilentWraith,3,0,19.31999514,-98.2300096,Tlaxcala,Mexico,2016-08-09T14:49:28.8277114Z,1,2016-08-09T14:47:36.3990000Z
2016-08-09T14:47:37.9293658Z,Cathasilver,0,1,34.42044293,8.780021931,Gafsa,Tunisia,2016-08-09T14:49:52.3578158Z,7,2016-08-09T14:47:36.8450000Z
2016-08-09T14:47:38.4804086Z,GalHoly,0,0,41.33038291,-72.90000533,New Haven,United States of America,2016-08-09T14:49:52.3578158Z,7,2016-08-09T14:47:37.8980000Z
2016-08-09T14:47:38.7049704Z,GlitterGunner,1,1,54.92870017,71.26824906,Isikul,Russia,2016-08-09T14:49:52.3578158Z,7,2016-08-09T14:47:38.0080000Z
2016-08-09T14:47:38.8091906Z,TylerDurden,2,0,13.93972958,-90.82003203,San Jose,Guatemala,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:37.8790000Z
2016-08-09T14:47:39.8726666Z,Liquarion,4,1,60.79330345,-161.7557961,Bethel,United States of America,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:38.9640000Z
2016-08-09T14:47:40.0012050Z,KillSwitch,0,0,-18.13301593,178.4417073,Suva,Fiji,2016-08-09T14:49:52.3578158Z,7,2016-08-09T14:47:39.1990000Z
2016-08-09T14:47:40.3094807Z,Boardenedev,3,0,7.371000109,-8.684999462,Sanniquellie,Liberia,2016-08-09T14:49:28.8277114Z,1,2016-08-09T14:47:38.8520000Z
2016-08-09T14:47:40.6316307Z,Beahbileau,4,1,11.0799991,-12.40100056,Pita,Guinea,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:40.1430000Z
2016-08-09T14:47:41.6880704Z,LaidtoRest,0,0,45.3786371,20.39946773,Zrenjanin,Serbia,2016-08-09T14:49:52.3578158Z,7,2016-08-09T14:47:41.4330000Z
2016-08-09T14:47:41.8364479Z,CutiePatootie22,4,0,-24.6666223,-65.04996769,General Guemes,Argentina,2016-08-09T14:49:36.1353901Z,0,2016-08-09T14:47:41.2990000Z
2016-08-09T14:47:41.8741509Z,K1s14y,1,0,-33.65640949,115.3486592,Busselton,Australia,2016-08-09T14:49:52.3578158Z,7,2016-08-09T14:47:41.5270000Z
2016-08-09T14:47:42.1673891Z,BugKid,3,1,4.864960143,100.7199914,Taiping,Malaysia,2016-08-09T14:49:28.8277114Z,1,2016-08-09T14:47:41.1990000Z
